GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountingProject,core.reader,TabDelimitedReader.EventType,0,24,0,0,0,1,0,1,0,1
AccountingProject,core.reader,TabDelimitedReader,111,237,14,11,14,56,15,13,7,8
AccountingProject,default,Main,67,0,0,0,20,0,2,0,2,0
AccountingProject,core,Journal,8,23,0,0,3,6,1,3,1,3
AccountingProject,core,TrialBalanceResult,19,57,1,1,5,14,2,4,1,4
AccountingProject,core,Ledger,20,106,1,3,6,25,3,10,2,9
AccountingProject,core.transaction,AccountingTransactionBuilder,0,55,0,0,0,11,0,6,0,6
AccountingProject,core.transaction,AccountingTransaction,33,101,2,8,6,20,4,12,2,9
AccountingProject,core.chartofaccounts,ChartOfAccountsBuilder,0,32,0,0,0,8,0,4,0,4
AccountingProject,core.chartofaccounts,ChartOfAccounts,10,35,1,1,3,7,2,3,1,3
AccountingProject,core.account,AccountingEntry,22,62,2,4,6,16,4,6,2,5
AccountingProject,core.account,AccountSide,0,24,0,0,0,3,0,1,0,1
AccountingProject,core.account,AccountDetailsImpl,41,130,18,14,5,11,16,7,1,6
AccountingProject,core.account,Account,12,84,0,4,4,18,1,9,1,7
